timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577399260.0,-27.6943317500128,-51.11655217627066,925.885745374772,8.0,294.02817,7.2344775,17,gps,0.8,1.3,1.5,3.6,,,,84,,7.41282314490721,1.0
1577399261.0,-27.694306111103117,-51.11661591109855,923.8954332107804,6.0,293.09183,7.0645823,17,gps,0.8,1.3,1.5,3.6,,,,84,,6.898879401659085,1.0
1577399262.0,-27.694279635434143,-51.11668147244518,922.9882688559544,6.0,292.5542,7.2035766,17,gps,0.9,1.3,1.5,3.6,,,,84,,7.101251814409925,1.0
1577399263.0,-27.69425350694693,-51.11674736204497,921.8721554938438,6.0,292.74982,7.105358,17,gps,0.9,1.6,1.8,3.6,,,,84,,7.115008537738852,1.0
1577399264.0,-27.694229565938933,-51.11682771909752,920.7220486215664,8.0,284.82907,6.6777606,17,gps,1.0,1.5,1.8,3.6,,,,84,,8.358480015796214,1.0
1577399265.0,-27.694221811743244,-51.11688827736968,920.9004926480548,8.0,293.01147,7.086232,17,gps,1.0,1.5,1.8,3.6,,,,84,,6.034842011261965,1.0
1577399266.0,-27.69419747473809,-51.116953694013816,920.085812066627,8.0,292.32648,6.9471426,17,gps,0.8,1.2,1.5,3.6,,,,84,,6.993494947549023,1.0
1577399267.0,-27.6941679657182,-51.117034841566586,919.4305688714938,8.0,293.54538,7.777969,17,gps,0.8,1.3,1.5,3.6,,,,84,,8.646445963043899,1.0
1577399268.0,-27.694138047991576,-51.117113104330826,918.1520852313068,8.0,293.6995,7.8776064,18,gps,0.8,1.2,1.5,3.6,,,,84,,8.401491759184427,1.0
1577399270.0,-27.694083553570547,-51.11726141981989,915.3323512115086,8.0,294.30307,7.8589463,20,gps,0.9,1.5,1.8,3.6,,,,84,,15.826916908479312,2.0
1577399271.0,-27.69405222433857,-51.11733604707589,913.8054886469772,6.0,295.1881,8.096225,19,gps,0.9,1.5,1.7,3.6,,,,84,,8.13872070269704,1.0
1577399272.0,-27.69402230967515,-51.117406241285614,912.494808189416,6.0,295.62503,8.124464,21,gps,1.0,1.4,1.7,3.6,,,,84,,7.676496970993395,1.0
1577399273.0,-27.693991265500703,-51.11747997738235,911.0626595533802,6.0,296.04004,8.122935,21,gps,0.8,1.2,1.5,3.6,,,,84,,8.045750862179094,1.0
1577399274.0,-27.693962099077527,-51.11755845499754,909.6593659568572,6.0,295.05328,8.251057,21,gps,0.9,1.4,1.7,3.6,,,,84,,8.388551712219261,1.0
1577399275.0,-27.69393445835776,-51.1176396049434,908.5324125343676,4.0,292.55685,8.400236,21,gps,0.8,1.2,1.5,3.6,,,,84,,8.570526457273946,1.0
1577399276.0,-27.693903694101703,-51.11771983810078,907.5812550443428,4.0,293.284,8.539887,21,gps,0.8,1.2,1.5,3.6,,,,84,,8.61711370106571,1.0
1577399277.0,-27.693872433379035,-51.11779532715299,907.280119002468,8.0,287.7896,8.666587,21,gps,0.8,1.2,1.5,3.6,,,,84,,8.212490659859359,1.0
1577399278.0,-27.69384806326897,-51.11788177350744,906.3020135991896,8.0,290.26437,8.788911,21,gps,0.8,1.2,1.4,3.6,,,,84,,8.944363957009523,1.0
1577399279.0,-27.693821256941845,-51.11796846942385,905.5778778831058,8.0,291.44183,8.879511,21,gps,0.9,1.3,1.6,3.6,,,,84,,9.052795510938235,1.0
1577399280.0,-27.69379299068634,-51.11805772392198,904.2214786381488,8.0,286.21713,9.001845,20,gps,0.8,1.3,1.5,3.6,,,,84,,9.344546713628878,1.0
1577399281.0,-27.693772642018462,-51.118144026357,903.4039173508615,6.0,285.545,8.897287,20,gps,0.9,1.2,1.5,3.6,,,,84,,8.806333943225772,1.0
1577399282.0,-27.6937508567407,-51.118232336929886,901.6076820827368,6.0,286.0831,9.044482,20,gps,0.8,1.3,1.5,3.6,,,,84,,9.039164074774744,1.0
1577399283.0,-27.69372767477724,-51.118323853231104,900.6836858627005,6.0,285.2624,9.434338,20,gps,0.8,1.3,1.5,3.6,,,,84,,9.385447134172372,1.0
1577399284.0,-27.69370154723042,-51.11841959959766,899.845933425505,6.0,285.78162,9.740057,20,gps,0.9,1.4,1.7,3.6,,,,84,,9.87812544410262,1.0
1577399285.0,-27.693675865711395,-51.118518304829855,899.0119981217744,4.0,285.54907,9.967615,20,gps,0.9,1.4,1.7,3.6,,,,84,,10.143550080582695,1.0
1577399286.0,-27.693650477148974,-51.11861661967047,898.5005222499027,4.0,286.10883,10.036239,20,gps,0.9,1.4,1.7,3.6,,,,84,,10.097503605571612,1.0
1577399287.0,-27.69362904961097,-51.118715370511495,897.7473219635101,4.0,285.64954,9.913518,19,gps,0.8,1.2,1.5,3.6,,,,84,,10.025887400296082,1.0
1577399288.0,-27.693605636020635,-51.11881024876125,897.2222285530389,4.0,285.57828,9.647924,20,gps,0.8,1.2,1.5,3.6,,,,84,,9.711661409912457,1.0
1577399289.0,-27.693583601367536,-51.11890372822681,896.7529655367675,4.0,284.4896,9.4180765,20,gps,0.8,1.2,1.5,3.6,,,,84,,9.538519205201952,1.0
1577399291.0,-27.693541419388264,-51.11908227930176,895.7275441389525,4.0,283.85007,9.01865,20,gps,0.8,1.2,1.5,3.6,,,,84,,18.221801790360026,2.0
1577399292.0,-27.69351669548,-51.11916850017816,894.7787945999955,4.0,286.28345,8.998006,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.935131720156399,1.0
1577399293.0,-27.693492658824777,-51.11926120913829,893.4195531007217,4.0,285.46454,9.509964,20,gps,0.8,1.2,1.5,3.6,,,,84,,9.524721380824554,1.0
1577399294.0,-27.693474403103163,-51.1193593447475,892.613621653331,4.0,283.72736,9.8091135,20,gps,0.8,1.2,1.5,3.6,,,,84,,9.889109717750118,1.0
1577399295.0,-27.693453746617557,-51.11945599575079,892.0745492076762,4.0,283.1569,9.772749,20,gps,0.8,1.2,1.5,3.6,,,,84,,9.804492526059214,1.0
1577399296.0,-27.69343303080296,-51.119551238025984,891.6934349927108,4.0,284.0335,9.590023,20,gps,0.8,1.2,1.5,3.6,,,,84,,9.670992011770467,1.0
1577399297.0,-27.6934113485798,-51.119642923369256,891.4166713590545,4.0,284.79538,9.310318,19,gps,0.8,1.2,1.5,3.6,,,,84,,9.35746530803605,1.0
1577399298.0,-27.693387537271057,-51.11973091483426,890.9283404232399,4.0,286.40558,9.056128,19,gps,0.8,1.4,1.6,3.6,,,,84,,9.07160512458509,1.0
1577399299.0,-27.693360860432595,-51.11981501316112,890.4599883536152,4.0,289.47644,8.712033,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.806366594792959,1.0
1577399300.0,-27.69332895053821,-51.11989369560932,890.2236666376035,4.0,293.83774,8.469643,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.528735365558774,1.0
1577399301.0,-27.693297739133563,-51.11997116973791,889.8541269166163,4.0,293.95267,8.35619,20,gps,0.9,1.4,1.6,3.6,,,,84,,8.388211397004405,1.0
1577399302.0,-27.69327108965613,-51.12005089488488,889.3291479837546,4.0,291.43726,8.31476,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.400219186586776,1.0
1577399303.0,-27.693250126330383,-51.12013183987713,888.9520311165218,4.0,287.2161,8.24928,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.315412142453603,1.0
1577399304.0,-27.693228039145957,-51.12021289329294,889.1073482197843,4.0,282.8651,8.137008,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.361287736117326,1.0
1577399305.0,-27.693214614021084,-51.12029670170469,888.571226386753,4.0,279.1563,8.26431,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.399577243300246,1.0
1577399306.0,-27.693208988245345,-51.12038447141003,888.1163555751147,4.0,275.44968,8.419475,20,gps,0.8,1.2,1.5,3.6,,,,84,,8.67993555930549,1.0
